num,0,1,2,3,4,5,6,7,8,9,10
2,1820,	27271,	78842,	77780,	64485,	84077,	108960,	135910,	361629,	429146,	235461
3,333,	8701,	48029,	84424,	88097,	104926,	109283,	100091,	137643,	55677,	13505
4,197,	2207,	14845,	56277,	109576,	163406,	152636,	75766,	56235,	16182,	2917
5,39,	704,	3034,	9962,	25396,	41172,	33671,	18114,	14394,	3973,	984
6,0,	203,	494,	2782,	5399,	7966,	5429,	3852,	4070,	1222,	348
7,0,	0,	411,	778,	1533,	1338,	1596,	1126,	563,	641,	235
8,0,	182, 191,	0,	84,	48,	594,	179,	33,	35,	0
9,0,	0,	0,	0,	0,	654,	213,	146,	168,	0,	0
10,0,	0,	0,	99,	0,	27,	30,	0,	25,	0,	0
