num,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,163.0,999.0,2316.0,2230.0,1880.0,1856.0,2390.0,3118.0,9528.0,9345.0,5584.0,1639.0,1000.0,163.0
3,115.0,757.0,1545.0,1907.0,2066.0,1811.0,2028.0,2175.0,3311.0,1587.0,588.0,239.0,115.0,115.0
4,135.0,442.0,1029.0,1951.0,2670.0,2547.0,2368.0,1695.0,1763.0,520.0,221.0,135.0,135.0,135.0
5,61.0,172.0,394.0,905.0,1429.0,1232.0,969.0,683.0,623.0,235.0,94.0,61.0,61.0,61.0
6,25.0,81.0,153.0,352.0,511.0,459.0,372.0,280.0,280.0,113.0,49.0,25.0,25.0,25.0
7,24.0,33.0,63.0,144.0,279.0,242.0,219.0,115.0,157.0,80.0,16.0,24.0,24.0,24.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
