school_type,size_distribution
pk,"0.012658227848101266, 0.0, 0.08860759493670886, 0.46835443037974683, 0.43037974683544306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
es,"0.012658227848101266, 0.0, 0.08860759493670886, 0.46835443037974683, 0.43037974683544306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
hs,"0.07407407407407407, 0.1111111111111111, 0.18518518518518517, 0.14814814814814814, 0.037037037037037035, 0.037037037037037035, 0.07407407407407407, 0.037037037037037035, 0.07407407407407407, 0.07407407407407407, 0.1111111111111111, 0.0, 0.037037037037037035, 0.0"
uv,"0.027522935779816515, 0.009174311926605505, 0.2018348623853211, 0.3944954128440367, 0.1926605504587156, 0.045871559633027525, 0.05504587155963303, 0.03669724770642202, 0.009174311926605505, 0.0, 0.027522935779816515, 0.0, 0.0, 0.0"
