code,name,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08
CZ01,Hlavní město Praha,,15847.0,847.0,837.0,1004.0,673.0,238.0,169.0
CZ02,Středočeský kraj,100045.0,,1815.0,1154.0,2452.0,885.0,173.0,121.0
CZ03,Jihozápad,8697.0,2709.0,,1104.0,360.0,1826.0,123.0,136.0
CZ04,Severozápad,10351.0,3671.0,1626.0,,1598.0,296.0,99.0,92.0
CZ05,Severovýchod,9313.0,7240.0,376.0,1078.0,,2630.0,746.0,196.0
CZ06,Jihovýchod,6597.0,1966.0,1965.0,247.0,2149.0,,4427.0,486.0
CZ07,Střední Morava,4449.0,640.0,277.0,161.0,1373.0,6584.0,,3211.0
CZ08,Moravskoslezský kraj,3165.0,489.0,197.0,117.0,399.0,1380.0,3367.0,
